term,heco_requirement,mainland_norm,kiuc,more_onerous,island_justified,softening_option,lever,source,verified
Contract term,20 Contract Years after COD (Model RDG PPA Sec 12.1); Company option to purchase at end,15-25 yr typical; 20 yr common,25-yr PPAs (Mana/Kaahanui) and 20-yr (Kapaia),N,Y,None needed,none,Model RDG PPA (PV+BESS) Appx J Sec 12.1,primary
Development-period security,$50/kW of Contract Capacity irrevocable standby LOC from A- rated US bank; 50% within 10 days of execution + 50% at IRS Amendment; replenish to 3x cap,No universal std; construction security often sized to per-diem delay damages; LOC or investment-grade parent guarantee,Not public,N,Y,Accept investment-grade parent guarantee in lieu of LOC; smaller tranche pre-IRS,PUC,Model RDG PPA Sec 14.2 / Stoel Rives Law of Solar,primary
Operating-period security,$75/kW of Contract Capacity LOC held the ENTIRE 20-yr term; A- issuing-bank rating maintained every year; no step-down,Delivery/performance security common but often steps down after COD or sized to ~6 mo cover damages,Not public,Y,partial,Step security down after a proven-performance period; allow parent guarantee,PUC,Model RDG PPA Sec 14.4 / Sec 14.5,primary
Issuing-bank rating,LOC bank must hold S&P A- or better for full term; replace within 30 days if downgraded,Investment-grade issuer typical; A- for full 20 yr is stringent,Not public,Y,N,Relax to BBB+/investment-grade; longer cure,PUC,Model RDG PPA Sec 14.5,primary
Interconnection cost,Developer pays all Total Estimated Interconnection Cost (Rule 14H) plus LOC for any overage; funds all Company-Owned Interconnection Facilities,Varies; ERCOT connect-and-manage socializes network upgrades; many US IOUs cost-share; PJM upgrades spiked $29->$240/kW,Not public; smaller/simpler Kauai grid,Y,partial,Connect-and-manage / socialize deep network upgrades; cap developer exposure,PUC,Stage2 RFP Sec 3.13.3 & 1.2.16; LBNL/ERCOT,primary
Price escalation,Escalation over PPA term PROHIBITED; fixed nominal $ (RFP Sec 3.9.2); pricing cannot be contingent on tax/ITC (3.9.1),Many mainland PPAs fixed but escalators (~1.5-2.5%/yr) and some indexed products exist,Fixed-price (Mana $127/MWh Kaahanui $133.40/MWh); escalation UNVERIFIED,Y,N,Add CPI/commodity index or defined re-opener band to survive input inflation,PUC,Stage2 RFP Sec 3.9.2 & 3.9.1,primary
Price re-opener,Approved price effectively not re-openable; 2022-02-15 amendment requests denied 2022-03-02 -> Longroad walked (Mahi/Pulehu),PPAs generally fixed but bilateral renegotiation more feasible outside a monopsony auction,KIUC renegotiated bilaterally (Kapaia 2014) when RFP failed,Y,N,Pre-agreed re-pricing formula for commodity/AD-CVD shocks pre-COD,PUC,SEC 10-Q/10-K; notes/heco-solar-procurement.md,primary
Payment structure,Single monthly Lump Sum Payment for (i) actual output on dispatch (ii) availability of Net Energy Potential (iii) BESS availability - availability/tolling-style,Energy $/MWh (as-generated) most common; capacity/tolling used for storage & dispatchable,Dispatchable PV-peaker; KIUC pays for dispatchable capacity+energy,N,Y,None; availability payment actually shields developer from curtailment,none,Model RDG PPA Sec 2.1 & 2.3,primary
Curtailment risk,Lump Sum paid for AVAILABILITY regardless of dispatch; downward-adjusted only for Force Majeure unavailability - so curtailment is not a developer revenue loss,Deemed-generated/economic-curtailment compensation increasingly standard; buyers negotiate cap on uncompensated curtailment,Dispatchable design; curtailment absorbed by battery,N,Y,None on revenue; ensure availability metric not degraded by Company-ordered curtailment,PUC,Model RDG PPA Sec 2.1/2.3; Stoel Rives; NREL 66543,primary
Storage dispatch control,Company maintains EXCLUSIVE right to fully direct charge/discharge; battery must be 100% grid-chargeable at Company direction after 5-yr ITC period; no developer arbitrage,Merchant/hybrid PPAs increasingly leave some battery dispatch/arbitrage to developer,KIUC also dispatches battery (Lawai PV-peaker load-following under KIUC control),Y,Y,Keep utility control for reliability; allow shared value/arbitrage credit,PUC,Stage2 RFP Sec 1.2.9-1.2.11; Model RDG PPA,primary
No-degradation clause,Proposers may not propose ANY degradation for capacity or efficiency over full 20-yr term (RFP Sec 2.1); functionality maintained entire term,Mainland guarantees a degradation curve (~0.5%/yr) & 90-95% output guarantee - degradation expected/priced,Not public,Y,partial,Allow realistic degradation curve or oversizing credit rather than zero-degradation,PUC,Stage2 RFP Sec 2.1,primary
PV availability guarantee,PV System Equivalent Availability Factor >=98% (12-mo basis); LDs below 98%,Output guarantee typically 90-95% of P50/P99 energy,Not public,Y,partial,Lower to ~95-97% or use energy (not availability) basis,PUC,Model RDG PPA Sec 2.5(b),primary
BESS performance metrics,BESS Capacity (4-hr), EAF, EFOF,"and Round-Trip-Efficiency metrics each with LDs; 4-hr duration; FFR contingency storage >=5MW/30min, 4-hr duration & RTE guarantees standard; FFR less common on mainland, 4-hr storage (Mana/Kaahanui); dispatchable, partial",Y,None; duration/FFR are genuine island reliability needs,none,Stage2 RFP Sec 1.2.10-1.2.12; Model RDG PPA Sec 2.4,primary
Grid-forming / ride-through,Must operate in grid-forming mode when directed; full LVRT/HVRT/UFRT/OFRT + transient-stability ride-through; reactive power at zero real power; black-start preferred,Grid-following historically standard; ride-through per IEEE 1547; grid-forming still emerging on mainland,KIUC requires black-start & advanced inverter functions,Y,Y,None; grid-forming/ride-through essential on isolated grid,none,Stage2 RFP Sec 2.1 & Appx B,primary
Telemetry / SCADA,Real-time telemetry of available energy for Company dispatch; critical telemetry sample rates; Company control system integration,SCADA/telemetry standard for utility-scale,Required,N,Y,None,none,Stage2 RFP Sec 3.8.5 & Appx B,primary
GCOD / delay LD,GCOD fixed at proposal and NON-adjustable (RFP 1.2.15); a Guaranteed Milestone inserted without amendment; daily delay LDs (~0.2%/day of monthly lump sum example) drawn from Development Security,Delay damages per-diem standard; but GCOD extensions for buyer/interconnection-caused delay usually available,Not public,Y,N,Grant GCOD relief / no LD for HECO-caused interconnection delay,PUC,Stage2 RFP 1.2.15; Model RDG PPA (LD examples),primary
Delay accountability symmetry,Historically penalized developer delay but not utility interconnection delay; PA Consulting recommended a PIM for utility-caused delay,Interconnection-caused delay typically excused for seller,n/a,Y,N,Add utility-delay PIM + automatic GCOD tolling for HECO-caused delay,PUC,PA Consulting Act 201 Phase 2,primary
State tax credit remittance,Proposer must pursue max state tax credit and remit proceeds to Company for customers; LD for failure to pursue; price set without state credits,Not a standard mainland term,n/a,Y,N,Retain (ratepayer benefit) but remove LD-for-failure asymmetry,PUC,Stage2 RFP Sec 1.2.18,primary
Decommissioning / restoration,Seller solely responsible for decommissioning + site restoration at term end (Attachment G Sec 7),Decommissioning bonds $15k-75k/MW increasingly required by permit,Not public,N,Y,None,none,Stage2 RFP Sec 1.2.17,primary
Change in law,Proposal cannot rely on any proposed change in law/rule (1.2.19); change-in-tax risk largely developer-borne,Change-in-law relief clauses common; often shared,Not public,Y,partial,Add change-in-law cost-sharing for post-execution federal tariff/tax shocks,PUC,Stage2 RFP Sec 1.2.19; Model RDG PPA,primary
Force majeure,FM excuses performance; Lump Sum adjusted downward for FM unavailability (Sec 2.3); Article 21,Standard FM allocation,Not public,N,Y,None,none,Model RDG PPA Sec 2.3 & Art 21,primary
Assignment / financing,Article 19 transfers/assignments/facility-debt; collateral assignment to Facility Lender permitted; lender step-in/cure rights,Financeable lender-consent + collateral assignment standard,Third-party-owned/financed (AES/SolarCity),N,Y,None; already financeable,none,Model RDG PPA Art 19 Sec 19.x,primary
Self-build asymmetry,"HECO self-build NOT required to sign a PPA; may adjust operational requirements with PUC approval; LDs paid from shareholder funds via PPAC; interconnection costs ""not comparable"" to IPPs",IOU self-build vs IPP asymmetry a general concern; some states bar or ring-fence utility self-build,n/a (coop does not self-build generation),Y,N,Symmetric proforma treatment; comparable interconnection cost accounting; independent self-build check,PUC,Stage2 RFP Sec 3.8.4 & 1.9; PA Consulting Phase 2,primary
Eligibility floor,Projects must be >5 MW (RFP 1.2.7) - sized to competitive-bidding waiver; <=5 MW routes outside RFP,No comparable floor on mainland merchant/RFP,No comparable floor,partial,N,Standardized <=5 MW standard-offer proforma tied to 20-acre by-right land threshold,PUC+legislature,Stage2 RFP Sec 1.2.7; notes/sb631-2011.md,primary
Proposal fee / NDA,$10,"000 non-refundable per proposal; non-negotiable NDA required, Bid fees smaller/uncommon",Not applicable (bilateral),Y,N,Reduce/refundable fee for small projects,PUC,Stage2 RFP Sec 3.12 & fee,primary
