island,location,project,developer,technology,groups,counsel,forum,mechanism,outcome,status,delayed_blocked_killed,verified,source_urls,notes
Oahu,"Kahuku, North Shore",Na Pua Makani Wind Farm (8 turbines ~24-27.6 MW),AES / Na Pua Makani Power Partners,wind,"Keep the North Shore Country; Kahuku Community Association; Kahuku residents","Lance D. Collins; Bianca K. Isaki (community). Carlsmith Ball (Manaut/Thoene) and Yamamoto Caliboso (applicant)","Street protest; BLNR contested case; Circuit Court; ICA; Hawaii Supreme Court","Road blockade + ~165-200 arrests (2019); contested-case challenge to habitat conservation plan / incidental-take license; appeals of DPP permits, waiver, ZBA rulings","Community lost every merits ruling: SC affirmed HCP (SCAP-19-0000449, 2022-02-25); ICA affirmed permit dismissal (CAAP-21-0000396 SDO, 2025-03-27); SC rejected cert 2025 (SCWC-21-0000396, dissent 2025-07-23). Turbines built and operating since 2020","Operating; litigation exhausted 2025",unaffected,Y,"https://law.justia.com/cases/hawaii/supreme-court/2022/scap-19-0000449.html ; https://caselaw.findlaw.com/court/hi-intermediate-court-of-appeals/117112435.html ; https://www.civilbeat.org/2021/06/this-north-shore-community-has-had-enough-of-towering-wind-turbines/","Largest street mobilization against any HI renewable project. Community lost in court but won at the ordinance level (see Ord 25-2 row). Protesters said they would have supported solar instead."
Oahu,"Honolulu (island-wide wind setback)","Honolulu Ordinance 25-2 / Bill 64 (2023) wind-turbine setbacks","(regulatory, all Oahu wind incl. Kahuku Wind, Na Pua Makani, Kawailoa)",wind,"Kahuku Community Association (Sunny Unga); North Shore residents; attorney Ryan D. Hurley (self)","Ryan D. Hurley (testimony)","Honolulu City Council (ordinance drive) / legislative","Multi-year ordinance-driving petition + testimony campaign: Res 19-305 (5 mi) -> Bills 28/29/30 (2021) -> Bills 10/55 (2022) -> Bill 64 (2023) -> Ord 25-2","Enacted 2025-01-03: setback = greater of 10x tip height or 1.25 mi from country/residential/apartment/resort lots; DPP waivers banned; repowering capped. 18 of 20 Kahuku turbines nonconforming; Oahu wind fleet expected retired 2031-2040","Enacted; in force",blocked (future wind island-wide),Y,"https://www4.honolulu.gov/docushare/dsweb/Get/Document-354710/Ordinance%2025-002_Bill%2064_LUO.pdf ; https://www.civilbeat.org/2024/06/tweaks-to-honolulus-land-use-law-could-jeopardize-kahukus-controversial-wind-farms/ ; https://hnldoc.ehawaii.gov/hnldoc/measure/2784","Clearest case of community resistance WINNING via the legislative/ordinance forum. Enacted rule far exceeds the original grievance geometry; makes most of Oahu infeasible for wind. State bills HB 2188 (2020), SB 957 (2021) died."
Oahu,"Kunia (Central Oahu)",Kupehau Solar (60 MW),174 Power Global / Hanwha,solar+storage,"NONE (on-site cultural/archaeological sites, not an organized group)","n/a","HECO procurement / developer","On-site cultural-resource discovery; downsizing attempts failed","Developer terminated PPA 2021-12-06","Dead",blocked,Y,"https://www.staradvertiser.com/2022/01/11/hawaii-news/oahu-renewable-energy-suffers-setback/","The only Oahu solar project ever stopped by anything permit/land-like -- but by on-site cultural resources, NOT organized community opposition. Distinguished from the Maui pattern."
Oahu,"Honouliuli / West Oahu",AES West Oahu Solar (12.5 MW) SP21-411,AES,solar+storage,"~10-16 individual residents; Dr. Kioni Dudley (individual testimony)","n/a","LUC special-use permit / Honolulu Planning Commission","~10-16 near-identical opposition emails (small coordinated email effort, all individuals -- no organization); individual oral/written testimony","LUC approved 8-0 (2021); zero intervenors","Operating",unaffected,Y,"https://luc.hawaii.gov/completed-dockets/special-permits/oahu/sp21-411/","Individual (not organized) opposition; included to mark the boundary between individual testimony and organized resistance. No group, no intervention, no litigation."
Oahu,"island-wide (utility-scale solar)","Oahu utility-scale solar generally (Mahi, Hoohana, Mililani, Waiawa, Kawailoa, AES West Oahu, Kupono, Barbers Point)","various (Clearway, Longroad, AES, 174PG, Innergex)",solar+storage,"NONE documented","n/a","(all venues swept: LUC, PUC, county PC, courts)","NULL -- no organized community group, no neighborhood-board opposition resolution, no contested-case intervention, no lawsuit found against any Oahu utility-scale solar project","No organized resistance located in the record","NULL FINDING",none,Y,"https://puc.hawaii.gov/energy/renewable-energy-procurement/by-island/ ; https://www.hawaiipublicradio.org/local-news/2019-10-17/kahuku-wind-farm-protesters-want-a-solar-farm-instead","STRONG NULL. Oahu solar dies of economics in HECO procurement, never of opposition. Mass mobilization on Oahu went to WIND (Kahuku), not solar. Absence of evidence in searched record; residual gaps = unlogged county records."
Maui,"Ulupalakua / above Maui Meadows, South Maui",Paeahu Solar (15 MW + 60 MWh),Innergex (offtaker MECO),solar+storage,"Pono Power Coalition (700+ members); Maui Meadows Neighborhood Association; Maui Tomorrow Foundation; Hooponopono O Makena","Lance D. Collins + Bianca K. Isaki (PUC/appeal); Christina D. Lizzi + Linda Nye and Ryan Hurley (county intervenors)","PUC contested case (docket 2018-0433); Hawaii Supreme Court (SCOT-21-0000041); Maui Planning Commission; 2nd Circuit Court","PUC participant status; appeal; county SUP/Phase-II permit challenge after intervention denied","Developer won on merits (PUC D&O 37340 approved; SC affirmed 2022-03-02); BUT 2nd Circuit (Judge Kawano) VACATED county permits Jan 2022 and remanded for intervention. PPA jointly terminated 2023-11-28 citing legal-delay + pandemic cost/supply-chain","Dead",killed (by delay),Y,"https://law.justia.com/cases/hawaii/supreme-court/2022/scot-21-0000041.html ; https://mauinow.com/2022/01/28/court-decision-delays-paeahu-solar-project/ ; https://www.hawaiianelectric.com/hawaiian-electric-innergex-end-contract-for-planned-grid-scale-solar-battery-storage-in-south-maui","CANONICAL CASE. Only solar land-use permit ever vacated by a HI court. Opposition did not win on merits -- the DELAY it injected collided with cost inflation and killed the project. Intervention right = a delay weapon."
Maui,"West Maui (Maui Land & Pineapple land)",Kahana Solar (20 MW + 80 MWh),Innergex (offtaker MECO),solar+storage,"West Maui Preservation Association (WMPA)","Ryan D. Hurley + Bianca K. Isaki (WMPA); Schlack Ito (applicant)","PUC contested case (docket 2020-0142); PUC-ordered mediation","Intervention -> PUC-ordered mediation -> community-benefits settlement","Oct 2021 settlement: $1.375M (~$55k/yr x 25 yr) community-benefits package + covenant not to oppose future permits; WMPA withdrew; PUC approved. Project then withdrawn 2022-12-30 for pricing/supply-chain","Dead","killed (economics, after CBA)",Y,"https://www.civilbeat.org/2021/11/how-a-maui-solar-farm-reached-an-unprecedented-deal-with-neighbors/ ; https://www.mauinews.com/news/local-news/2023/04/more-energy-projects-needed-to-replace-retiring-power-sources/","Opposition MONETIZED via an unprecedented community-benefits agreement, not a block. Economics finished the project after the settlement. Cancellation 2022-12-30 (corrected from earlier May-2022 dating)."
Maui,"Central Maui / Kula",Pulehu Solar (40 MW); Kamaole Solar (40 MW),Longroad; Potentia/Peg Gen,solar+storage,"NONE documented","n/a","HECO procurement","NULL -- cancelled for supply-chain/inflation economics; no organized opposition documented","Both cancelled (Pulehu 2022-05-04; Kamaole among 4 Maui cancellations reported Nov 2023)","Dead",killed (economics; no resistance),Y,"https://www.staradvertiser.com/2023/11/29/hawaii-news/nixed-solar-farm-projects-on-maui-raising-concerns/","Included to show that even on Maui, most solar deaths are economic, not opposition. Of 5 Maui PUC-approved solar projects 2018-2023, 4 died; only 1 (Paeahu) had organized opposition."
Hawaii Island,"Pepeekeo, Hamakua coast",Hu Honua / Honua Ola Bioenergy (~21.5 MW biomass),Hu Honua Bioenergy (offtaker HELCO),biomass,"Life of the Land (Henry Curtis)","Lance D. Collins (2019 appeal); Chase H. Livingston (2023 appeal); Bronster Fujichaku Robbins / Bays Lung / Yamamoto Caliboso (applicant); Kobayashi Sugita & Goda (HELCO)","PUC contested case (docket 2017-0122); Hawaii Supreme Court (two appeals)","Intervention + two Supreme Court appeals on GHG / public-trust / clean-and-healthful-environment grounds","1st appeal SCOT-17-0000630 (2019) vacated PPA approval; on remand PUC DENIED the PPA; 2nd appeal SCOT-22-0000418 (2023-03-13) AFFIRMED the denial. Project killed","Dead",killed,Y,"https://law.justia.com/cases/hawaii/supreme-court/2019/scot-17-0000630.html ; https://caselaw.findlaw.com/court/hi-supreme-court/2023 (SCOT-22-0000418)","The single biggest NGO-opposition litigation WIN against a HI utility-scale renewable project. Biomass, not solar/wind, but squarely in scope. MW figure ~21.5 net / 30 gross -- exact figure UNVERIFIED here."
Hawaii Island,"Ocean View / Hawaiian Ocean View Ranchos, Kau (D/E land)","SPI Energy Ocean View solar (26 x ~3-acre facilities among homes)",SPI Energy,solar,"Ann & Peter Bosted; Ocean View / Hawaiian Ranchos residents (~600-850 signature petition)","self-represented (residents)","PUC complaint (docket 2016-0224); State Legislature (HB 2665, 2018)","~600-850 signature petition; PUC complaint; testimony campaign for HB 2665 to require SUP for solar >15 kW in nonconforming residential subdivisions","HB 2665 (2018) died in House Finance without a hearing (last action 2018-02-16); PUC complaint outcome UNVERIFIED","Bill dead; project status UNVERIFIED",delayed (UNVERIFIED),Y,"https://www.civilbeat.org/2016/08/does-this-big-island-community-really-need-30000-solar-panels/ ; https://web.archive.org/web/20201102042336/https://www.capitol.hawaii.gov/session2018/testimony/HB2665_HD1_TESTIMONY_AGR-WAL_02-14-18_.PDF","ORGANIC residents wanting MORE regulation of solar in their own residential subdivision (D/E land) -- structurally different from utility-scale-on-farmland. Counterexample to astroturf hypothesis. All testifiers identifiable local residents; zero utility/landholder/LURF presence."
