stage,project,developer,island,mw,mwh,rfp_issued,award_date,ppa_exec,puc_approval,target_cod,actual_cod_or_cancel,status,delay_months,cause,docket,source,verified
Stage 1,Hoohana Solar 1,Hanwha/174 Power Global,Oahu,52,208,2018-02-27,2018-mid,2018-2019,D&O ~2019 (2017-0352 PPA sub 2018-0431),2022,2025-07-11,operating,~36,Supply-chain/interconnection slippage; longest Stage-1 slip,2018-0431,https://www.hawaiianelectric.com/clean-energy-hawaii/our-clean-energy-portfolio/renewable-project-status-board,verified-cod;approx-delay
Stage 1,Mililani I Solar,Clearway,Oahu,39,156,2018-02-27,2018-mid,2018-2019,PPA sub 2018-0434,2021-2022,2022-07,operating,~6,First Stage-1 project online,2018-0434,https://www.hawaiipublicradio.org/local-news/2022-08-22/utility-scale-solar-hits-supply-chain-snags-but-inflation-reduction-act-offers-hope,verified-cod;approx-delay
Stage 1,Waiawa Solar Power,Clearway,Oahu,36,144,2018-02-27,2018-mid,2018-2019,PPA sub 2018-0435,2021-2022,2023,operating,~18,7-8 wk battery-shipment delay (Shanghai lockdown) + broader slip,2018-0435,https://www.hawaiipublicradio.org/local-news/2022-08-22/utility-scale-solar-hits-supply-chain-snags-but-inflation-reduction-act-offers-hope,verified-cod;approx-delay
Stage 1,AES West Oahu Solar,AES,Oahu,12.5,50,2018-02-27,2018-06 (expanded FAG Order 35529),2019,PPA sub 2019-0050,2023,2024-03,operating,~12,Added via expanded Final Award Group (Order 35529 2018-06-15),2019-0050,https://www.aes-hawaii.com/west-oahu-solar-storage,verified-cod;approx-delay
Stage 1,AES Kuihelani Solar,AES,Maui,60,240,2018-02-27,2018-mid,2018-2019,PPA sub 2018-0436,2022-2023,2024-05-31,operating,~18,The one of 5 Maui PUC-approved solar projects that survived,2018-0436,https://www.staradvertiser.com/2023/11/29/hawaii-news/nixed-solar-farm-projects-on-maui-raising-concerns/,verified-cod;approx-delay
Stage 1,Paeahu Solar,Innergex,Maui,15,60,2018-02-27,2018-mid,2019,D&O 37340 (2020-10; 2018-0433),2022,2023-11-28,cancelled,,County-permit vacatur+remand delay (Pono Power/Maui Meadows) collided w/ pandemic cost; developer won PUC+Supreme Court on merits,2018-0433,https://www.hawaiianelectric.com/hawaiian-electric-innergex-end-contract-for-planned-grid-scale-solar-battery-storage-in-south-maui,verified
Stage 1,AES Waikoloa Solar,AES,Hawaii,30,120,2018-02-27,2018-mid,2018-2019,PPA sub 2018-0430,2022,2023-04,operating,~12,,2018-0430,https://www.aes-hawaii.com/waikoloa-solar-storage-project,verified-cod;approx-delay
Stage 1,Hale Kuawehi Solar,Innergex,Hawaii,30,120,2018-02-27,2018-mid,2018-2019,PPA sub 2018-0432,2022,2025-03-25,operating,~30,Supply-chain slip,2018-0432,https://www.hawaiianelectric.com/clean-energy-hawaii/our-clean-energy-portfolio/renewable-project-status-board,verified-cod;approx-delay
Stage 2,Kapolei Energy Storage,Plus Power,Oahu,185,565,2019-08-22,2020-05-08,2020,PPA sub 2020-0136,2022-06,2024,operating,~18,Storage-only (not solar); slipped year-end 2022 -> 2024,2020-0136,https://www.hawaiianelectric.com/clean-energy-hawaii/our-clean-energy-portfolio/renewable-project-status-board,verified-cod;approx-delay
Stage 2,Kupono Solar,Bright Canyon Energy/Ameresco,Oahu,42,168,2019-08-22,2020-05-08,2021,PPA sub 2022-0007,2022-2023,2024-06-07,operating,~24,On federal Navy (JBPHH) land - bypassed ch.205,2022-0007,https://www.hawaiianelectric.com/clean-energy-hawaii/our-clean-energy-portfolio/renewable-project-status-board,verified-cod;approx-delay
Stage 2,Mountain View Solar,AES,Oahu,7,35,2019-08-22,2020-05-08,2020,PPA sub 2020-0139,2022,2026,approved (delayed),~48,Supply-chain then survived; COD target 2026,2020-0139,https://puc.hawaii.gov/energy/renewable-energy-procurement/by-island/,verified-status;approx-delay
Stage 2,Waiawa Phase 2 Solar,AES,Oahu,30,240,2019-08-22,2020-05-08,2020,PPA sub 2020-0137,2022,2026,approved (delayed),~48,Supply-chain then survived; COD target 2026,2020-0137,https://puc.hawaii.gov/energy/renewable-energy-procurement/by-island/,verified-status;approx-delay
Stage 2,Mahi Solar,Longroad,Oahu,120,480,2019-08-22,2020-05-08,2020,,2022,2022-05-04,cancelled (re-procured Stage 3),,Sought above-PPA price amid supply-chain/inflation (panels +57%; shipping ~+500%); PUC declined price amendment; re-bid into Stage 3,2017-0352,https://www.civilbeat.org/2022/05/a-major-solar-farm-developer-is-pulling-out-of-maui-and-oahu-projects/,verified
Stage 2,Kupehau Solar,174 Power Global/Hanwha,Oahu,60,240,2019-08-22,2020-05-08,2020,,2022,2021-12-06,cancelled,,On-site cultural/archaeological sites on ~240-ac Kunia parcel; downsizing failed,2017-0352,https://www.staradvertiser.com/2022/01/11/hawaii-news/oahu-renewable-energy-suffers-setback/,verified
Stage 2,Barbers Point Solar (Kalaeloa),Innergex,Oahu,15,60,2019-08-22,2020-05-08,2020,,2022-2023,~2023,cancelled,,Supply-chain/cost; part of Innergex Oahu/Maui exit; WWII Ewa battlefield concerns raised but not cause,2017-0352,https://www.civilbeat.org/2023/01/renewable-energy-projects-are-back-on-track-after-pandemic-lull/,verified-fact;unverified-date
Stage 2,Mehana Solar,Onyx Development Group,Oahu,6.6,26.4,2019-08-22,2020-05-08,,,2022,~2022-03,cancelled,,UNVERIFIED cause (supply-chain era); dropped from status board,2017-0352,https://health.hawaii.gov/cab/files/2025/01/FinalAppendix-I.pdf,unverified
Stage 2,Kaukonahua Solar,Kaukonahua Solar LLC,Oahu,6,25.4,2019-08-22,2020-05-08,,,2022,UNVERIFIED,cancelled,,UNVERIFIED date/cause; absent from status board,2017-0352,https://puc.hawaii.gov/energy/renewable-energy-procurement/by-island/,unverified
